CityCode,Area,Math,Literature,English,Physic,Chemistry,Biology,Geography,History,Civic Education,A,B,C,A1,D1,A-BK,A1-BK
8,2,4.505252949733312,5.688672320991682,3.3695741887075594,4.999096820809249,5.039614561027837,4.945029027576197,5.66381015161503,3.949719509661334,7.398080782739589,15.977919708029198,15.896988388969522,15.129257306086574,14.765466568699486,13.919615963855422,16.41719890510949,15.507531227038942
13,2,4.009033553197591,5.145307769929365,3.3693009118541033,4.625105130361648,4.837199668599834,4.453790459965928,5.3474699828473415,3.7530984996738423,6.677368833202819,14.928262711864408,14.745655877342418,14.09308510638298,13.951492537313433,12.636114401760027,15.299968220338982,14.565375329236172
12,2,4.399749495511794,6.104618036015757,3.44353332792076,4.3684790947449175,4.505982905982906,4.259046052631579,5.396141176470588,3.695101195952162,6.955933437920216,14.088462278675905,13.99865466511808,15.09521006028636,13.450886524822694,14.354942950285249,14.490047632794457,14.102620463078848
10,2,3.9380687620560537,5.599780331192971,3.2095300261096606,4.830342237061769,4.730800323362975,4.730229591836735,5.491320132013201,3.816386554621849,7.000115598027127,15.154142011834319,14.989148936170213,14.7917107001321,14.488505747126437,12.941690694626475,15.559139898562975,15.061737400530504
18,2,4.67684113489706,5.620116279069768,3.7170705309362035,5.329888322884012,5.242219412565649,4.702662427975363,5.630679025349344,3.760633890346637,7.2397941754206165,16.649308846761453,16.031898608349902,14.919435274285313,15.518647665251668,14.473448255041662,17.040536137440757,16.205996058217103
15,2,4.69035428739089,5.774461549848271,3.7529654375979544,5.081267649827424,5.151038437693739,4.69882762991128,5.748854852562268,3.961308131374567,7.505861696380335,16.205993042378243,15.806418383518226,15.42945107398568,15.432229123533471,14.570831953642385,16.626648481973433,16.199585921325053
62,2,4.114221891288161,5.734783818890332,3.158246251703771,4.943943298969073,5.120245398773006,4.792356687898089,5.300846474953618,3.884891700621917,6.737203920500953,15.873342002600781,15.589681528662421,14.72987705868708,14.475981055480379,13.33842213114754,16.202730819245772,15.175321380243572
7,2,4.263857677902622,4.621798925071135,3.304334121355398,4.671052631578948,4.657624633431085,4.781297709923664,5.286177331660393,3.9142578125,6.824490329325666,14.678082191780822,14.76085626911315,13.654007553503986,13.709780907668232,12.591924603174602,15.022260273972602,14.329049295774649
14,2,3.4332422941865004,4.697390284429675,3.025392296718973,4.032486930545183,4.179590343818581,4.3518031555221635,4.672518091361375,3.521170006464124,5.985139506672058,13.023692307692308,13.361232156273479,12.799983027834351,12.296332046332047,11.197517942583731,13.384961538461539,12.839739382239383
23,2,3.730630124677075,5.052798909957988,3.1470069966312515,3.973333333333333,4.06296992481203,3.9281011045029737,5.057628579003182,3.5190094400620717,6.574269850927898,12.680836162988115,12.608899745114698,13.547401219835587,12.172848731884057,12.195504958246346,13.003984507640068,12.699405570652173
28,3,4.453253458850378,5.626672094916832,3.357904193538037,4.848532167395378,4.801662017666202,4.221483876117497,5.2967138761713235,3.6296529175050303,6.813105602282229,15.239456956760574,14.622544321993292,14.556085816243174,14.229153551680136,13.761262644216785,15.620505375500274,14.961916205869842
29,3,4.640110242276632,5.4532152230971125,3.3987539803405786,4.903614184654453,4.957280732965664,4.331822344322345,5.436640658451877,3.673450704225352,6.884777070063694,15.72369333211712,15.136180835470869,14.511518872864011,14.595430319778918,13.55750452079566,16.195871339961688,15.394564251875247
30,3,4.710906847624923,6.247079696037179,3.328042255453423,4.938485198000769,4.974575462697959,4.415531872903099,5.700147244425747,3.8896633024487093,7.062862623994011,15.701891000775795,15.160452033162258,15.802517470741769,14.39268216080402,14.497607556536128,16.124876357641583,15.192470163316584
31,3,4.297569662685942,5.20737400530504,3.3260883941364487,4.381822863027806,4.351178451178451,4.240318118948824,5.3984354105375765,3.683783255086072,6.80426276771005,13.924309868875087,13.750466804979252,14.178006964907581,13.183719273245458,12.814017037282886,14.350168219461697,13.774643747773423
32,3,4.698057877813505,5.211762396964542,3.4395536959553694,5.146398069067954,5.131370014771049,4.500782472613459,5.375984251968504,3.8004968469329254,6.801223886895969,16.17401722201423,15.529882583170254,14.29816604220075,14.849378508420209,13.378843451377179,16.559977536503183,15.572378708901363
33,3,4.887978541819068,4.897173894947141,3.7808927173061866,5.207581615120275,5.263191354100445,4.590087623220153,5.349366244162775,3.619129924341247,6.904459497600903,16.441428261811875,15.903697608075488,13.794995316472635,15.401873297002725,13.6329899167032,16.827170026007803,16.074327316076293
